"YY","MM","DD","VAL"
2019.0000,1.0000,1.0000,51.0922
2019.0000,1.0000,2.0000,27.5890
2019.0000,1.0000,3.0000,57.6650
2019.0000,1.0000,4.0000,100.0466
2019.0000,1.0000,5.0000,84.6352
2019.0000,1.0000,6.0000,70.7960
2019.0000,1.0000,7.0000,79.4055
2019.0000,1.0000,8.0000,71.5961
2019.0000,1.0000,9.0000,38.7460
2019.0000,1.0000,10.0000,39.0337
2019.0000,1.0000,11.0000,89.1001
2019.0000,1.0000,12.0000,98.4279
2019.0000,1.0000,13.0000,83.2102
2019.0000,1.0000,14.0000,32.9881
2019.0000,1.0000,15.0000,83.4765
2019.0000,1.0000,16.0000,74.3515
2019.0000,1.0000,17.0000,61.0672
2019.0000,1.0000,18.0000,59.0126
2019.0000,1.0000,19.0000,44.2146
2019.0000,1.0000,20.0000,66.4236
2019.0000,1.0000,21.0000,75.4590
2019.0000,1.0000,22.0000,91.9070
2019.0000,1.0000,23.0000,59.4275
2019.0000,1.0000,24.0000,77.0227
2019.0000,1.0000,25.0000,88.4009
2019.0000,1.0000,26.0000,89.1069
2019.0000,1.0000,27.0000,59.3289
2019.0000,1.0000,28.0000,71.0331
2019.0000,1.0000,29.0000,92.3646
2019.0000,1.0000,30.0000,68.2011
2019.0000,1.0000,31.0000,83.5828
2019.0000,2.0000,1.0000,85.4048
2019.0000,2.0000,2.0000,74.6849
2019.0000,2.0000,3.0000,66.4876
2019.0000,2.0000,4.0000,96.0123
2019.0000,2.0000,5.0000,98.9112
2019.0000,2.0000,6.0000,121.6521
2019.0000,2.0000,7.0000,135.8706
2019.0000,2.0000,8.0000,149.1616
2019.0000,2.0000,9.0000,102.2963
2019.0000,2.0000,10.0000,76.7310
2019.0000,2.0000,11.0000,34.8906
2019.0000,2.0000,12.0000,57.0837
2019.0000,2.0000,13.0000,90.8820
2019.0000,2.0000,14.0000,104.7425
2019.0000,2.0000,15.0000,109.5623
2019.0000,2.0000,16.0000,114.0433
2019.0000,2.0000,17.0000,103.5012
2019.0000,2.0000,18.0000,88.7980
2019.0000,2.0000,19.0000,75.9615
2019.0000,2.0000,20.0000,93.5347
2019.0000,2.0000,21.0000,101.6778
2019.0000,2.0000,22.0000,96.1841
2019.0000,2.0000,23.0000,63.5667
2019.0000,2.0000,24.0000,68.3807
2019.0000,2.0000,25.0000,102.0504
2019.0000,2.0000,26.0000,114.7423
2019.0000,2.0000,27.0000,117.9017
2019.0000,2.0000,28.0000,74.9228
2019.0000,3.0000,1.0000,69.7420
2019.0000,3.0000,2.0000,92.8730
2019.0000,3.0000,3.0000,59.5073
2019.0000,3.0000,4.0000,86.8410
2019.0000,3.0000,5.0000,87.7950
2019.0000,3.0000,6.0000,82.2064
2019.0000,3.0000,7.0000,64.1231
2019.0000,3.0000,8.0000,54.3853
2019.0000,3.0000,9.0000,52.4467
2019.0000,3.0000,10.0000,50.1066
2019.0000,3.0000,11.0000,37.4440
2019.0000,3.0000,12.0000,50.1630
2019.0000,3.0000,13.0000,56.8536
2019.0000,3.0000,14.0000,66.9630
2019.0000,3.0000,15.0000,59.8169
2019.0000,3.0000,16.0000,43.3864
2019.0000,3.0000,17.0000,35.5766
2019.0000,3.0000,18.0000,24.9196
2019.0000,3.0000,19.0000,43.7601
2019.0000,3.0000,20.0000,53.1188
2019.0000,3.0000,21.0000,65.7589
2019.0000,3.0000,22.0000,92.6075
2019.0000,3.0000,23.0000,87.9952
2019.0000,3.0000,24.0000,71.0377
2019.0000,3.0000,25.0000,42.0730
2019.0000,3.0000,26.0000,33.0502
2019.0000,3.0000,27.0000,49.7713
2019.0000,3.0000,28.0000,58.5779
2019.0000,3.0000,29.0000,59.7803
2019.0000,3.0000,30.0000,75.1590
2019.0000,3.0000,31.0000,71.8987
2019.0000,4.0000,1.0000,77.4945
2019.0000,4.0000,2.0000,53.2040
2019.0000,4.0000,3.0000,42.5025
2019.0000,4.0000,4.0000,32.5324
2019.0000,4.0000,5.0000,43.1917
2019.0000,4.0000,6.0000,38.4519
2019.0000,4.0000,7.0000,30.5441
2019.0000,4.0000,8.0000,42.1627
2019.0000,4.0000,9.0000,39.1048
2019.0000,4.0000,10.0000,50.8996
2019.0000,4.0000,11.0000,56.5111
2019.0000,4.0000,12.0000,37.8102
2019.0000,4.0000,13.0000,23.5708
2019.0000,4.0000,14.0000,27.0217
2019.0000,4.0000,15.0000,49.0813
2019.0000,4.0000,16.0000,62.4108
2019.0000,4.0000,17.0000,69.6273
2019.0000,4.0000,18.0000,47.2524
2019.0000,4.0000,19.0000,46.9529
2019.0000,4.0000,20.0000,39.3514
2019.0000,4.0000,21.0000,25.8295
2019.0000,4.0000,22.0000,16.6135
2019.0000,4.0000,23.0000,29.2342
2019.0000,4.0000,24.0000,34.6528
2019.0000,4.0000,25.0000,28.2603
2019.0000,4.0000,26.0000,28.0724
2019.0000,4.0000,27.0000,23.9040
2019.0000,4.0000,28.0000,16.7446
2019.0000,4.0000,29.0000,33.9931
2019.0000,4.0000,30.0000,38.7024
2019.0000,5.0000,1.0000,27.7621
2019.0000,5.0000,2.0000,22.6798
2019.0000,5.0000,3.0000,43.7024
2019.0000,5.0000,4.0000,27.1923
2019.0000,5.0000,5.0000,15.3350
2019.0000,5.0000,6.0000,37.5702
2019.0000,5.0000,7.0000,29.1031
2019.0000,5.0000,8.0000,38.0271
2019.0000,5.0000,9.0000,39.5137
2019.0000,5.0000,10.0000,40.5378
2019.0000,5.0000,11.0000,35.0424
2019.0000,5.0000,12.0000,26.8669
2019.0000,5.0000,13.0000,33.3545
2019.0000,5.0000,14.0000,29.4039
2019.0000,5.0000,15.0000,30.4001
2019.0000,5.0000,16.0000,35.8878
2019.0000,5.0000,17.0000,31.6081
2019.0000,5.0000,18.0000,29.5466
2019.0000,5.0000,19.0000,29.0423
2019.0000,5.0000,20.0000,34.7917
2019.0000,5.0000,21.0000,22.4764
2019.0000,5.0000,22.0000,25.1002
2019.0000,5.0000,23.0000,33.8730
2019.0000,5.0000,24.0000,28.5229
2019.0000,5.0000,25.0000,27.1315
2019.0000,5.0000,26.0000,14.4879
2019.0000,5.0000,27.0000,24.9689
2019.0000,5.0000,28.0000,36.1659
2019.0000,5.0000,29.0000,26.3359
2019.0000,5.0000,30.0000,25.8751
2019.0000,5.0000,31.0000,32.0774
2019.0000,6.0000,1.0000,39.9496
2019.0000,6.0000,2.0000,35.8178
2019.0000,6.0000,3.0000,28.4835
2019.0000,6.0000,4.0000,31.4267
2019.0000,6.0000,5.0000,22.4690
2019.0000,6.0000,6.0000,21.2416
2019.0000,6.0000,7.0000,26.5566
2019.0000,6.0000,8.0000,23.2225
2019.0000,6.0000,9.0000,25.1688
2019.0000,6.0000,10.0000,29.5310
2019.0000,6.0000,11.0000,26.4346
2019.0000,6.0000,12.0000,22.8285
2019.0000,6.0000,13.0000,26.2223
2019.0000,6.0000,14.0000,33.1408
2019.0000,6.0000,15.0000,25.8234
2019.0000,6.0000,16.0000,21.3370
2019.0000,6.0000,17.0000,26.7161
2019.0000,6.0000,18.0000,25.5396
2019.0000,6.0000,19.0000,25.3475
2019.0000,6.0000,20.0000,24.7533
2019.0000,6.0000,21.0000,28.6551
2019.0000,6.0000,22.0000,27.1387
2019.0000,6.0000,23.0000,29.3802
2019.0000,6.0000,24.0000,36.5238
2019.0000,6.0000,25.0000,34.8174
2019.0000,6.0000,26.0000,42.0223
2019.0000,6.0000,27.0000,36.2221
2019.0000,6.0000,28.0000,28.6227
2019.0000,6.0000,29.0000,15.8071
2019.0000,6.0000,30.0000,22.1009
2019.0000,7.0000,1.0000,26.7403
2019.0000,7.0000,2.0000,25.6532
